店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
五味八珍 浜松駅ビル メイワン店,053-522-7070,,静岡県,浜松市中央区,砂山町6-1,メイワン7F,,FALSE
中国料理 桃花林,053-458-1233,,静岡県,浜松市中央区,板屋町111-2,オークラアクトシティホテル浜松,https://www.act-okura.co.jp/restaurant/tohkalin/,TRUE
鼎’s by JINDINROU 浜松遠鉄百貨店,053-543-5800,,静岡県,浜松市中央区,砂山町320-2,遠鉄百貨店本館8F,,FALSE
宮崎県日南市 じとっこ組合 浜松モール街店,053-413-3777,ji-1107@taiyouent.co.jp,静岡県,浜松市中央区,千歳町73-2,,https://ap-holdings.jp/,TRUE
アプレシオ 浜松ビオラ田町店,053-450-8200,,静岡県,浜松市中央区,田町223-21,ビオラ田町ビルB1,,FALSE
バリヤス酒場 浜松南口駅前店,053-454-2388,,静岡県,浜松市中央区,砂山町322-6,一兆ビル2F,https://shop.monteroza.co.jp/detail/874033/,TRUE
酉泰 別邸,053-454-5188,,静岡県,浜松市中央区,肴町313-13,,,FALSE
個室居酒屋和桜 浜松駅前店,053-450-2588,,静岡県,浜松市中央区,鍛冶町319-20,伴野ビル2F,,FALSE
カラオケ館 浜松有楽街店,053-458-7722,,静岡県,浜松市中央区,肴町318-12,,https://karaokekan.jp/campaign/discount,TRUE
浜松大衆酒場～餃子の遠州～,053-450-8888,,静岡県,浜松市中央区,鍛冶町319-11,,,FALSE
食堂てらだ,053-451-5860,,静岡県,浜松市中央区,肴町319-3,ブルーノアビル1F,,FALSE
中華居酒屋 大聖,053-540-3339,,静岡県,浜松市中央区,田町316-30,,,FALSE
炭火焼き鳥 dining らん,053-452-2211,,静岡県,浜松市中央区,肴町313-11,田島ビル1F,,FALSE
個室居酒屋 海鮮×炭×八丁味噌 燈 ‐tomoshibi‐ 浜松店,0535-22-9179,,静岡県,浜松市中央区,鍛冶町320-23,Q‐FACE B1,,FALSE
炉端とおでん 呼炉凪来 浜松駅店,053-523-8770,,静岡県,浜松市中央区,肴町322-20,WAVE BLDG.3F,https://koronagirai-shinjuku.foolish.co.jp/,TRUE
横濱魚萬 浜松南口駅前店,053-454-6588,,静岡県,浜松市中央区,砂山町322-6,株式会社一兆ビル1F,https://shop.monteroza.co.jp/,TRUE
コスパ系居酒屋 均タロー 浜松店,053-415-9756,,静岡県,浜松市中央区,肴町322-20,WAVEビル3F,,FALSE
目利きの銀次 浜松モール街店,053-451-1288,,静岡県,浜松市中央区,千歳町73-1,コスモ第1ビル1F,https://shop.monteroza.co.jp/,TRUE
かば屋 浜松南口駅前店,053-454-5288,,静岡県,浜松市中央区,砂山町322-6,株式会社一兆ビル3F,https://shop.monteroza.co.jp/,TRUE
九州料理 鶏炭火焼 山内農場 浜松モール街店,053-451-1388,,静岡県,浜松市中央区,千歳町73-1,コスモ第1ビル2F,https://shop.monteroza.co.jp/,TRUE
ラーメン 来人,,,静岡県,浜松市中央区,鍛治町15,,,FALSE
55ラーメン,080-3680-5533,,静岡県,浜松市中央区,海老塚1-3,,,FALSE
ラーメン タケル,,,静岡県,浜松市中央区,尾張町127-13,,,FALSE
省ちゃんラーメン,053-453-8350,,静岡県,浜松市中央区,海老塚2-15-1,,,FALSE
らぁ麺 十六,,,静岡県,浜松市中央区,早馬町2-5,,,FALSE
彩食酒麺 しゃもじ,053-459-3232,,静岡県,浜松市中央区,神明町218-16,,,FALSE
好麺,053-548-6641,,静岡県,浜松市中央区,砂山町326-7,,,FALSE
細麺三太,053-456-2557,,静岡県,浜松市中央区,田町323-1,,,FALSE
麺屋 心桜,,,静岡県,浜松市中央区,千歳町9,,,FALSE
好麺 有楽街店,053-541-7897,,静岡県,浜松市中央区,田町316-28,相曽ビル1F,,FALSE
五味八珍 静岡パルシェ店,054-204-5381,,静岡県,静岡市葵区,黒金町49,,,FALSE
一蘭 静岡駅前店,050-1808-2292,,静岡県,静岡市葵区,紺屋町7－7,,,FALSE
ひので（青葉おでん街）,090-7469-0100,,静岡県,静岡市葵区,常磐町2-3-6,,,FALSE
【焼ki鳥×栃木もの】 kibun joujou,070-7569-8087,,静岡県,静岡市葵区,両替町2-2-4,辻本ビル2F,,FALSE
西安健菜 キッチン 新静岡セノバ店,054-266-3095,,静岡県,静岡市葵区,鷹匠1-1-1,新静岡セノバ5F,,FALSE
しずおか魚市場直営店 JR静岡駅アスティ東館,054-291-6171,,静岡県,静岡市葵区,黒金町54-3,,,FALSE
やきとり兄ちゃん,090-9229-0553,,静岡県,静岡市駿河区,南町6-11,,,FALSE
豊後高田どり酒場 静岡北口駅前店,054-653-8188,,静岡県,静岡市葵区,御幸町8-3,パレスV2F,https://shop.monteroza.co.jp/,TRUE
やきとり元気,054-204-0228,,静岡県,静岡市葵区,黒金町28-1,静岡ゴールデン横丁,,FALSE
食べ放題 個室居酒屋 餃子のかっちゃん 静岡店,054-292-5280,,静岡県,静岡市葵区,紺屋町7-8,第三ヒダビル,,FALSE
目利きの銀次 静岡北口駅前店,054-653-6288,,静岡県,静岡市葵区,御幸町8-3,パレスV1F,https://shop.monteroza.co.jp/,TRUE
焼肉ほるもん元気,054-204-0350,,静岡県,静岡市葵区,黒金町28-1,静岡ゴールデン横丁,,FALSE
炭焼酒場ヘチナス,070-2188-2769,,静岡県,静岡市葵区,鷹匠1-2-1,SOZOSYA鷹匠ビル2F,,FALSE
大衆酒場×個室居酒屋 鶏と魚と餃子 いっせん（一千）静岡駅店,054-205-9500,,静岡県,静岡市葵区,両替町2-5-13,両替町リッツビル1F,,FALSE
ラーメン もちづき,054-251-8777,,静岡県,静岡市葵区,両替町2-3-1,濱村ビレッジ1F,,FALSE
ラーメン 鈴木商店（仮）,054-297-5779,,静岡県,静岡市葵区,相生町7-18,,,FALSE
繁ちゃんラーメン＆なごみ,054-221-9514,,静岡県,静岡市葵区,両替町2-2-11,,,FALSE
横浜家系ラーメン 鶴田家,054-251-9697,,静岡県,静岡市葵区,駿府町1-17,,,FALSE
ラーメン 暖暮 静岡常磐町店,054-270-6556,,静岡県,静岡市葵区,常磐町2-2-1,ライブネット青葉ビル1F,,FALSE
熟成醤油ラーメン 十二分屋 静岡駅前店,054-292-7363,,静岡県,静岡市葵区,駿府町1-15,叶家ビル1F,,FALSE
