店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
五味八珍 浜松駅ビル メイワン店,053-522-7070,,静岡県,浜松市中央区砂山町,6-1,メイワン7F,https://nb8s666.gorp.jp/,True
中国料理 桃花林,053-458-1233,,静岡県,浜松市中央区板屋町,111-2,オークラアクトシティホテル浜松,https://www.act-okura.co.jp/restaurant/tohkalin/,True
鼎’s by JINDINROU 浜松遠鉄百貨店,053-543-5800,,静岡県,浜松市中央区砂山町,320-2,遠鉄百貨店本館8F,https://nbra403.gorp.jp/,True
宮崎県日南市 じとっこ組合 浜松モール街店,053-413-3777,ji-1107@taiyouent.co.jp,静岡県,浜松市中央区千歳町,73-2,,https://ap-holdings.jp/,True
アプレシオ 浜松ビオラ田町店,053-450-8200,,静岡県,浜松市中央区田町,223-21,ビオラ田町ビルB1,https://nc41000.gorp.jp/,True
バリヤス酒場 浜松南口駅前店,053-454-2388,,静岡県,浜松市中央区砂山町,322-6,一兆ビル2F,https://shop.monteroza.co.jp/detail/874033/,True
酉泰 別邸,053-454-5188,,静岡県,浜松市中央区肴町,313-13,,https://nbvk900.gorp.jp/,True
個室居酒屋和桜 浜松駅前店,053-450-2588,,静岡県,浜松市中央区鍛冶町,319-20,伴野ビル2F,https://nc4a301.gorp.jp/,True
浜松大衆酒場～餃子の遠州～,053-450-8888,,静岡県,浜松市中央区鍛冶町,319-11,,https://nbpx902.gorp.jp/,True
食堂てらだ,053-451-5860,,静岡県,浜松市中央区肴町,319-3,ブルーノアビル1F,https://nafd804.gorp.jp/,True
炭火焼き鳥 dining らん,053-452-2211,,静岡県,浜松市中央区肴町,313-11,田島ビル1F,https://nbv5100.gorp.jp/,True
中華居酒屋 大聖,053-540-3339,,静岡県,浜松市中央区田町,316-30,,https://nccx400.gorp.jp/,True
個室居酒屋 海鮮×炭×八丁味噌 燈 ‐tomoshibi‐ 浜松店,0535-22-9179,,静岡県,浜松市中央区鍛冶町,320-23,Q‐FACE B1,https://nbh1603.gorp.jp/,True
カラオケ館 浜松有楽街店,053-458-7722,,静岡県,浜松市中央区肴町,318-12,,https://karaokekan.jp/campaign/discount,True
炉端とおでん 呼炉凪来 浜松駅店,053-523-8770,,静岡県,浜松市中央区肴町,322-20,WAVE BLDG.3F,https://nc9g600.gorp.jp/,True
横濱魚萬 浜松南口駅前店,053-454-6588,,静岡県,浜松市中央区砂山町,322-6,株式会社一兆ビル1F,https://shop.monteroza.co.jp/,True
コスパ系居酒屋 均タロー 浜松店,053-415-9756,,静岡県,浜松市中央区肴町,322-20,WAVEビル3F,https://ncbz600.gorp.jp/,True
目利きの銀次 浜松モール街店,053-451-1288,,静岡県,浜松市中央区千歳町,73-1,コスモ第1ビル1F,https://shop.monteroza.co.jp/,True
かば屋 浜松南口駅前店,053-454-5288,,静岡県,浜松市中央区砂山町,322-6,株式会社一兆ビル3F,https://shop.monteroza.co.jp/,True
